perc_semelhanca,usar,dif_12,nome1,nome2
081,"",ROBSON S???? SERRALHA,robson s serralha,robson souza serralha
081,"",MARI?NA ????M?ES MOREIRA,marina simoes moreira,mariana gomes moreira
074,"",MAURICI??????O TEIXEIRA,mauricio teixeira,mauricio brito teixeira
074,"",GABRIEL??????A MARTINEZ,gabriela silva martinez,gabriela martinez
070,"",CLAUDIA ??????FELIPE,claudia rosso felipe,claudia felipe
069,"",ANDRE ?????BALBI,andre luis balbi,andre balbi
068,"",GERMANA ??????BRITO,germana brito,germana alves brito
067,"",PAUL???????? FERNANDES,paulo fernandes,paula neves fernandes
067,"",GUSTAVO ???????DANTAS,gustavo dantas,gustavo coelho dantas
067,"",ANDREA ??????BAUER,andrea carla bauer,andrea bauer
065,"",MIGUEL ???????RIELLA,miguel riella,miguel carlos riella
065,"",CLAUDIA ????????RIBEIRO,claudia ribeiro,claudia azevedo ribeiro
064,"",MARINA????????? CRISTELLI,marina pontello cristelli,marina cristelli
064,"",LECTICIA ????????JORGE,lecticia jorge,lecticia barbosa jorge
062,"",TATIANA ????????ABRAO,tatiana pereira abrao,tatiana abrao
062,"",HUGO?????? SILVA,hugo silva,hugo edgar silva
061,"",RENATO ???????EICK,renato george eick,renato eick
061,"",EMMANUEL ???????????BURDMANN,emmanuel de almeida burdmann,emmanuel burdmann
